key,where,placeholders,en,cs
tacticsTacticPresets,Heading of the presets sheet.,,TACTIC PRESETS,ULOŽENÉ TAKTIKY
tacticsPresetsBlurb,Intro on the presets sheet.,,"Save this shape as a reusable style, or apply one you saved earlier.","Uložte toto rozestavení jako znovupoužitelný styl, nebo použijte dříve uložený."
tacticsSaveCurrentTactic,Button that saves the current shape and instructions as a preset.,,Save current tactic,Uložit aktuální taktiku
tacticsCouldNotLoadPresets,Error shown when presets fail to load.,{error},Could not load presets.\n{error},Nepodařilo se načíst uložené taktiky.\n{error}
tacticsNoPresetsYet,Empty state on the presets sheet.,,No presets yet. Tap “Save current tactic” to store this setup as a reusable style.,Zatím žádné uložené taktiky. Klepnutím na „Uložit aktuální taktiku“ uložíte toto nastavení jako znovupoužitelný styl.
tacticsNameThisTactic,Title of the dialog naming a new preset.,,Name this tactic,Pojmenujte taktiku
tacticsNameHint,Hint text in the preset-name field.,,e.g. High press 4-3-3,např. Vysoký presink 4-3-3
tacticsCancel,Dismiss the name-preset dialog.,,Cancel,Zrušit
tacticsSave,Confirm the name-preset dialog.,,Save,Uložit
tacticsTapToAssign,Shown when a player has no role assigned.,,Tap to assign,Klepnutím přiřadit
tacticsHoldDragSub,Hint above the substitutes list on the squad tab.,,"Hold a sub, then drag them onto a player to bring them on.","Podržte náhradníka a přetáhněte ho na hráče, kterého chcete vystřídat."
tacticsUnavailableCount,"Heading of the unavailable-players list, with the count.",{count},UNAVAILABLE · {count},NEDOSTUPNÍ · {count}
hubContinue,Button to continue to the next screen.,,Continue,Pokračovat
hubBrackets,Label/tab for the knockout brackets.,,Brackets,Pavouk
hubCouldNotLoad,Generic load-error message on the hub.,{error},Could not load.\n{error},Nepodařilo se načíst.\n{error}
hubCouldNotLoadFinances,Error when federation finances fail to load.,{error},Could not load finances.\n{error},Nepodařilo se načíst finance.\n{error}
hubCouldNotLoadSave,Error when the save fails to load.,{error},Could not load save.\n{error},Nepodařilo se načíst uloženou hru.\n{error}
hubSaveNotFound,Shown when the save can't be found.,,Save not found.,Uložená hra nenalezena.
hubUnknown,Fallback for an unknown value.,,Unknown,Neznámý
hubWorldChampionsYear,Banner naming the year's world champions.,{year},{year} WORLD CHAMPIONS,{year} MISTŘI SVĚTA
hubCycleComplete,Message that the cycle has ended.,,The cycle is complete.,Cyklus je u konce.
hubYourJob,Heading over the manager's current job.,,YOUR JOB,VAŠE MÍSTO
hubStayProject,Option to stay with the current nation.,,Stay and continue your project,Zůstaňte a pokračujte ve svém projektu
hubChooseNextJob,Heading prompting the next job choice.,,CHOOSE YOUR NEXT JOB,VYBERTE SI DALŠÍ ANGAŽMÁ
hubOffersOnTable,Heading over the list of job offers.,,OFFERS ON THE TABLE,NABÍDKY NA STOLE
hubOfferSubtitle,Job-offer subtitle with tier and world position.,{tier} {position},{tier} · world #{position},{tier} · #{position} na světě
hubContinueWith,Button to continue with a given nation.,{nation},Continue with {nation},Pokračovat s {nation}
hubYourNation,Fallback phrase for the manager's nation.,,your nation,vaším národem
hubTakeTheJob,Button to accept a job offer.,,Take the job,Přijmout nabídku
hubFederationFinances,Heading of the federation finances panel.,,FEDERATION FINANCES,FINANCE SVAZU
hubBudgetIntro,Intro explaining the budget-setting task.,,Your first job next cycle is to set the federation budget and split it across the departments.,Vaším prvním úkolem v příštím cyklu bude sestavit rozpočet svazu a rozdělit ho mezi jednotlivé úseky.
hubStarting,Progress label while the next cycle starts.,,Starting…,Spouštění…
hubBeginNextCycle,Button to begin the next cycle.,,Begin next cycle,Zahájit další cyklus
hubOpeningBalance,Finances row: opening balance.,,Opening balance,Počáteční zůstatek
hubCentralFunding,Finances row: central funding.,,Central funding,Centrální dotace
hubPrizeMoney,Finances row: prize money.,,Prize money,Prémie
hubCommercialReturn,Finances row: commercial return.,,Commercial return,Komerční příjmy
hubAvailableToInvest,Finances row: total available to invest.,,Available to invest,K dispozici k investování
hubReputation,Reputation label with tier and value.,{label} {rep},Reputation: {label} ({rep}),Reputace: {label} ({rep})
hubNationalHero,Reputation tier: national hero.,,National hero,Národní hrdina
hubFinal,Label for the final.,,Final,Finále
hubStageRoundOf32,Knockout round name: the round of 32.,,Round of 32,Šestnáctifinále
hubStageThirdPlace,Knockout round name: the third-place play-off.,,Third-place play-off,O 3. místo
hubEventAdvanceWorld,Hub action: quick-sim to the next event.,,Advance the world,Posunout svět dál
hubEventStartCycle,Hub action: begin the next World Championship cycle.,{year},Start {year} cycle,Zahájit cyklus {year}
hubEventWorldChampions,Hub subtitle naming the reigning World Championship winner.,{nation},{nation} are World Champions,{nation} jsou mistři světa
hubEventSetBudget,Hub action: allocate the federation budget.,,Set your federation budget,Nastavte rozpočet federace
hubEventSetBudgetSub,Hub subtitle for the budget step.,,Allocate this cycle’s war chest before the season begins,Rozdělte prostředky tohoto cyklu před začátkem sezóny
hubEventNaturalization,Hub action: decide on a naturalisation.,,Review naturalisation offer,Posoudit nabídku naturalizace
hubEventNaturalizationSub,Hub subtitle for the naturalisation step.,,A foreign player wants to switch allegiance to you,Zahraniční hráč chce přejít do vaší reprezentace
hubEventIntercontinentalPlayoff,Hub action: the intercontinental play-off.,,The intercontinental play-off,Mezikontinentální baráž
hubEventWatchWcDraw,Hub action: watch the World Championship finals draw.,,Watch the World Championship draw,Sledovat los mistrovství světa
hubEventWorldCupHere,Hub action: the World Championship opening ceremony.,,The World Championship is here,Mistrovství světa je tady
hubEventWatchFinalsDraw,Hub action: watch the continental finals draw.,,Watch the finals draw,Sledovat los závěrečného turnaje
hubEventFinalsHere,Hub action: the continental opening ceremony.,,The finals are here,Závěrečný turnaj je tady
hubEventPlayWcRound,Hub action: step the World Championship forward one round.,,Play the next World Championship round,Odehrát další kolo MS
hubEventPlayCupMatch,Hub action: step a continental cup forward one match.,{cup},Play the next {cup} match,Odehrát další zápas: {cup}
hubEventPlayNationsCupMatch,Hub action: step the Nations Cup forward.,,Play the next Nations Cup match,Odehrát další zápas Poháru národů
hubEventWatchNationsCupDraw,Hub action: watch the Nations Cup draw.,,Watch the Nations Cup draw,Sledovat los Poháru národů
hubEventWatchHostSelection,Hub action: watch the continental host selection.,,Watch the host selection,Sledovat volbu pořadatele
hubEventWatchQualifyingDraw,Hub action: watch the continental qualifying draw.,,Watch the qualifying draw,Sledovat kvalifikační los
hubEventWatchWcHostSelection,Hub action: watch the World Championship host selection.,,Watch the World Championship host selection,Sledovat volbu pořadatele MS
hubEventWatchWcQualifyingDraw,Hub action: watch the World Championship qualifying draw.,,Watch the World Championship qualifying draw,Sledovat kvalifikační los MS
hubEventArrangeFriendlies,Hub action: arrange friendlies.,,Arrange friendlies,Domluvit přátelské zápasy
hubEventFriendliesSub,Hub subtitle: unarranged friendly windows.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{You haven’t filled your open friendly window yet} other{You haven’t filled your {count} open friendly windows yet}}","{count, plural, =1{Zatím jste nevyužili své volné okno pro přátelský zápas} few{Zatím jste nevyužili svá {count} volná okna pro přátelské zápasy} other{Zatím jste nevyužili svých {count} volných oken pro přátelské zápasy}}"
hubEventReshapeXi,Hub action: fix the starting XI after a ban/injury.,,Reshape your starting XI,Upravte základní sestavu
hubEventReshapeOutSub,Hub subtitle: XI players unavailable.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 of your XI is out (suspended or injured). Pick their replacement} other{{count} of your XI are out (suspended or injured). Pick their replacements}}","{count, plural, =1{1 hráč základní sestavy chybí (trest nebo zranění). Vyberte náhradu} few{{count} hráči základní sestavy chybí (trest nebo zranění). Vyberte náhrady} other{{count} hráčů základní sestavy chybí (trest nebo zranění). Vyberte náhrady}}"
hubEventReshapeShortSub,Hub subtitle: XI not full.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{Your starting XI is short. Fill the open slot} other{Your starting XI is short. Fill the open slots}}","{count, plural, =1{Základní sestava není kompletní. Obsaďte volné místo} other{Základní sestava není kompletní. Obsaďte volná místa}}"
hubEventPlayOpponent,Hub action: play the next match against an opponent.,{opponent},Play {opponent},Hrát proti {opponent}
hubEventContinentalFinalsFallback,Fallback name when a continental cup name is unknown.,,the continental finals,kontinentální šampionát
hubCallUpFriendlies,Call-up label before a friendly window.,,Name your squad for the friendlies,Nominujte tým na přátelské zápasy
hubCallUpRequalify,Call-up label at qualifying matchday 6.,,Re-name your qualifying squad,Znovu nominujte kvalifikační tým
hubCallUpWorldCup,Call-up label before the World Championship group stage.,,Name your World Championship squad,Nominujte tým na MS
hubCallUpFinals,Call-up label before a continental finals.,,Name your squad for the finals,Nominujte tým na závěrečný turnaj
hubCallUpNationsCup,Call-up label before the Nations Cup.,,Name your Nations Cup squad,Nominujte tým na Pohár národů
hubCallUpQualifying,Call-up label before a qualifying campaign.,,Name your qualifying squad,Nominujte kvalifikační tým
hubCallUpGeneric,Generic call-up label.,,Name your squad,Nominujte tým
hubHost,Label marking the host nation.,,Host,Pořadatel
hubGoldenBoot,Award label: Golden Boot.,,Golden Boot,Zlatá kopačka
hubGoldenBootValue,Golden Boot holder name and goal count.,{name} {goals},{name} · {goals} goals,{name} · {goals} gólů
hubPens,Suffix marking a result decided on penalties.,,(pens),(pen.)
hubNationalHub,Title of the national hub screen.,,NATIONAL HUB,NÁRODNÍ CENTRÁLA
hubMessages,Label for the messages inbox.,,Messages,Zprávy
hubWorldChampions,Banner label for the world champions.,,WORLD CHAMPIONS,MISTŘI SVĚTA
hubViewBracket,Button opening the tournament bracket.,,View bracket ›,Zobrazit pavouka ›
hubBoardDelighted,Board-confidence level: delighted.,,Delighted,Nadšené
hubBoardPleased,Board-confidence level: pleased.,,Pleased,Spokojené
hubBoardExpectingMore,Board-confidence level: expecting more.,,Expecting more,Očekává víc
hubBoardConcerned,Board-confidence level: concerned.,,Concerned,Znepokojené
hubBoardJobAtRisk,Board-confidence level: job at risk.,,Job at risk,Místo v ohrožení
hubBoard,Heading of the board panel.,,BOARD,VEDENÍ
hubBoardObjective,Board objective line with its label.,{label},Board objective: {label},Cíl vedení: {label}
hubObjectiveMet,"Objective met, with the result.",{result},MET · {result},SPLNĚNO · {result}
hubObjectiveMissed,"Objective missed, with the result.",{result},MISSED · {result},NESPLNĚNO · {result}
hubNoMoreFixtures,Shown when no fixtures remain this cycle.,,No more fixtures this cycle.,V tomto cyklu už nejsou žádné zápasy.
hubNextMatch,Heading above the next match card.,,NEXT MATCH,PŘÍŠTÍ ZÁPAS
hubVs,Versus separator between two teams.,,VS,VS
hubSquadStatus,Heading of the squad-status panel.,,SQUAD STATUS,STAV KÁDRU
hubPlayers,Player count.,{count},{count} players,{count} hráčů
hubAvgRating,Label for the squad average rating.,,Avg rating,Prům. hodnocení
hubMorale,Label for squad morale.,,Morale,Morálka
hubManageTeam,Button to open team management.,,Manage Team,Spravovat tým
hubGroupsToBeDrawn,Shown before the group draw has happened.,,Groups to be drawn. Watch the draw to reveal them.,Skupiny budou vylosovány. Sledujte losování a odhalte je.
hubGroupName,Group heading with its letter.,{name},GROUP {name},SKUPINA {name}
hubTblTeam,Standings column header: team.,,TEAM,TÝM
hubTblP,Standings column header: played.,,P,Z
hubTblGd,Standings column header: goal difference.,,GD,GD
hubTblPts,Standings column header: points.,,PTS,B
homeSettings,Button opening settings.,,Settings,Nastavení
homeLeadTheNation,Home-screen tagline.,,LEAD THE NATION,VEĎTE NÁROD
homeYourNation,Fallback phrase for the player's nation.,,your nation,váš národ
homeNewGame,Button starting a new game.,,New Game,Nová hra
homeAllSaves,Button opening the saves list.,,All saves,Všechny uložené hry
homeLoadGame,Button loading an existing game.,,Load game,Načíst hru
homeContinue,Heading over the continue card.,,CONTINUE,POKRAČOVAT
homeRoadToWorldCup,Continue-card subtitle with date and World Championship year.,{date} {year},{date} · Road to the {year} World Championship,{date} · Cesta na MS {year}
careerManageSaves,Button to manage saved games.,,Manage saves,Spravovat uložení
careerNewGameTitle,App-bar title on the new-game screen.,,NEW GAME,NOVÁ HRA
careerCouldNotLoadNation,Error when the nation fails to load.,{error},Could not load nation.\n{error},Reprezentaci se nepodařilo načíst.\n{error}
careerNationNotFound,Shown when the nation can't be found.,,Nation not found.,Reprezentace nenalezena.
careerWorldRankNum,World rank line with the rank number.,{rank},WORLD RANK #{rank},SVĚTOVÉ POŘADÍ #{rank}
careerManagerName,Label for the manager-name field.,,Manager name,Jméno trenéra
careerManagerNameHint,Hint text for the manager-name field.,,e.g. Alex Ferguson,např. Alex Ferguson
careerBeginsBlurb,Intro describing when the career begins.,,"Your career begins in September 2026, on the road to the 2030 World Championship.","Vaše kariéra začíná v září 2026, na cestě na mistrovství světa 2030."
careerFreeCycleNote,Note under the new-game blurb saying what is free and what the one-time purchase unlocks.,,"The first full cycle is free: qualifying, your continental championship and the World Championship. Carrying on afterwards, and extra save slots, unlock once for €12.99.","První cyklus je zdarma celý: kvalifikace, kontinentální šampionát i mistrovství světa. Pokračování po něm a další pozice pro uložení odemknete jednorázově za 12,99 €."
